location_id,street_address_1,street_address_2,city,state,zip,latitude,longitude,landmark_name
loc01,727,Hollow Ridge,Antelope,Oregon,97001,44.99029,-120.60403,state building
loc02,50,Scott,Aurora,Oregon,97002,45.24048,-122.79384,mall
loc03,3,Clyde Gallagher,Beavercreek,Oregon,97004,45.25496,-122.44938,school
loc04,76,Dunning,Beaverton,Oregon,97005,45.49096,-122.80359,airport
loc05,8,Maple Wood,Beaverton,Oregon,97006,45.51701,-122.85982,airport
loc06,7,1st,Beaverton,Oregon,97007,45.45427,-122.87962,airport
loc07,1,Schurz,Beaverton,Oregon,97008,45.46019,-122.8042,airport
loc08,27447,Forest Run,Boring,Oregon,97009,45.42299,-122.33277,airport
loc09,7017,East,Bridal Veil,Oregon,97010,45.55,-122.27,airport
loc10,6,Fieldstone,Brightwood,Oregon,97011,45.38713,-122.02642,airport
loc11,37456,Jenifer,Canby,Oregon,97013,45.22082,-122.66828,airport
loc12,501,Daystar,Cascade Locks,Oregon,97014,45.5685,-122.04455,mall
loc13,24179,Bonner,Clackamas,Oregon,97015,45.41352,-122.53676,mall
loc14,49,Elmside,Clatskanie,Oregon,97016,46.06031,-123.26695,school
loc15,15,Stoughton,Colton,Oregon,97017,45.17652,-122.38969,mosque
loc16,8289,Kenwood,Columbia City,Oregon,97018,45.89926,-122.81222,mosque
loc17,284,Elgar,Corbett,Oregon,97019,45.51563,-122.24273,mosque
loc18,68606,Oriole,Donald,Oregon,97020,45.22295,-122.83362,mosque
loc19,343,Kenwood,Dufur,Oregon,97021,45.38592,-121.14238,mall
loc20,2,Caliangt,Eagle Creek,Oregon,97022,45.34673,-122.31996,mall
loc21,457,Spohn,Estacada,Oregon,97023,45.27848,-122.32319,mall
loc22,500,Sutteridge,Fairview,Oregon,97024,45.54662,-122.44235,mall
loc23,1,Iowa,Gervais,Oregon,97026,45.10615,-122.95994,mall
loc24,51186,Dorton,Gladstone,Oregon,97027,45.38565,-122.59283,mall
loc25,5,Hansons,Government Camp,Oregon,97028,45.28845,-121.80728,mall
loc26,28801,Hayes,Grass Valley,Oregon,97029,45.28709,-120.80228,mall
loc27,5956,Dovetail,Gresham,Oregon,97030,45.5092,-122.43347,school
loc28,34,Moulton,Hood River,Oregon,97031,45.62669,-121.55039,school
loc29,2602,Utah,Hubbard,Oregon,97032,45.17663,-122.78388,temple
loc30,760,Vahlen,Kent,Oregon,97033,45.28025,-120.59588,temple
loc31,80,Susan,Lake Oswego,Oregon,97034,45.40935,-122.68347,temple
loc32,25095,Kropf,Lake Oswego,Oregon,97035,45.4135,-122.72517,school
loc33,58424,Colorado,Marylhurst,Oregon,97036,45.39,-122.64,chruch
loc34,60725,Dennis,Maupin,Oregon,97037,45.06705,-121.02762,chruch
loc35,7,Lien,Molalla,Oregon,97038,45.09544,-122.55895,chruch
loc36,6,Atwood,Moro,Oregon,97039,45.45156,-120.66486,chruch
loc37,1,Hauk,Mosier,Oregon,97040,45.61711,-121.38812,mall
loc38,2004,Old Shore,Mount Hood Parkdale,Oregon,97041,45.43625,-121.62479,mall
loc39,217,Melvin,Mulino,Oregon,97042,45.20772,-122.53722,bus station 
loc40,9,Ryan,Odell,Oregon,97044,45.62,-121.54,bus station 
loc41,5921,Superior,Oregon City,Oregon,97045,45.32028,-122.53647,bus station 
loc42,97,Ludington,Rainier,Oregon,97048,46.0448,-122.98202,bus station 
loc43,931,Farmco,Rhododendron,Oregon,97049,45.34525,-121.86274,mall
loc44,5101,Green Ridge,Rufus,Oregon,97050,45.67358,-120.78163,mall
loc45,66819,Mendota,Saint Helens,Oregon,97051,45.8757,-122.94901,airport
loc46,145,Marquette,Warren,Oregon,97053,45.82798,-122.88329,airport
loc47,62479,Dexter,Deer Island,Oregon,97054,45.94224,-122.94959,airport
loc48,8,Autumn Leaf,Sandy,Oregon,97055,45.38872,-122.15507,airport
loc49,88384,Valley Edge,Scappoose,Oregon,97056,45.77204,-122.96941,airport
loc50,2315,Ohio,Shaniko,Oregon,97057,45.00273,-120.74997,airport
loc51,4135,Elmside,The Dalles,Oregon,97058,45.53645,-121.15525,airport
loc52,6,Sullivan,Troutdale,Oregon,97060,45.53133,-122.36909,airport
loc53,235,Ryan,Tualatin,Oregon,97062,45.3693,-122.76231,airport
loc54,11,La Follette,Tygh Valley,Oregon,97063,45.2249,-121.30113,mall
loc55,8431,Almo,Vernonia,Oregon,97064,45.85909,-123.23552,mall
loc56,49,3rd,Wasco,Oregon,97065,45.60764,-120.64462,state building
loc57,326,Bunker Hill,Welches,Oregon,97067,45.29773,-122.05896,themepark
loc58,42,Russell,West Linn,Oregon,97068,45.35251,-122.66853,themepark
loc59,92657,Chive,Wilsonville,Oregon,97070,45.30611,-122.77307,themepark
loc60,3618,Graedel,Woodburn,Oregon,97071,45.13419,-122.82649,mall
loc61,2030,Algoma,Beaverton,Oregon,97075,45.49,-122.8,mall
loc62,6917,Logan,Beaverton,Oregon,97076,45.49,-122.8,college
loc63,46777,Pleasure,Beaverton,Oregon,97077,45.49,-122.8,school
loc64,41014,Old Shore,Gresham,Oregon,97080,45.47831,-122.39073,school
loc65,95,Mallory,Happy Valley,Oregon,97086,45.44505,-122.52817,school
loc66,675,Corry,Damascus,Oregon,97089,45.42642,-122.44299,state building
loc67,766,Swallow,Amity,Oregon,97101,45.0902,-123.2287,themepark
loc68,6,Kim,Arch Cape,Oregon,97102,45.79566,-123.95982,college
loc69,7941,Forest Run,Astoria,Oregon,97103,46.13392,-123.71061,airport
loc70,9,Amoth,Banks,Oregon,97106,45.66568,-123.11898,mall
loc71,1572,Schmedeman,Bay City,Oregon,97107,45.55252,-123.87938,airport
loc72,7531,Kim,Beaver,Oregon,97108,45.26888,-123.70878,airport
loc73,8622,Warrior,Buxton,Oregon,97109,45.73783,-123.18121,airport
loc74,0,Sullivan,Cannon Beach,Oregon,97110,45.90104,-123.9554,school
loc75,902,Pierstorff,Carlton,Oregon,97111,45.28455,-123.19519,school
loc76,7124,Roxbury,Cloverdale,Oregon,97112,45.27123,-123.86847,state building
loc77,56181,Almo,Cornelius,Oregon,97113,45.49724,-123.04434,mall
loc78,24,Rigney,Dayton,Oregon,97114,45.18786,-123.07657,mall
loc79,286,Cottonwood,Dundee,Oregon,97115,45.27523,-123.03946,mall
loc80,7,Towne,Forest Grove,Oregon,97116,45.58082,-123.16569,mall
loc81,1676,Valley Edge,Gales Creek,Oregon,97117,45.63144,-123.2879,mall
loc82,41,Vidon,Garibaldi,Oregon,97118,45.56077,-123.91134,mall
loc83,7,Bay,Gaston,Oregon,97119,45.46886,-123.20021,mall
loc84,7,Ridgeway,Hammond,Oregon,97121,46.17192,-123.95184,mall
loc85,8,Vernon,Hebo,Oregon,97122,45.16142,-123.82578,mall
loc86,95868,Ilene,Hillsboro,Oregon,97123,45.44016,-122.98008,mall
loc87,3478,Trailsway,Hillsboro,Oregon,97124,45.56908,-122.9467,mall
loc88,98,Cambridge,Manning,Oregon,97125,45.67116,-123.19698,mall
loc89,5,Boyd,Lafayette,Oregon,97127,45.24613,-123.11135,mosque
loc90,49543,Daystar,Mcminnville,Oregon,97128,45.21192,-123.28209,mosque
loc91,0,Bluejay,Manzanita,Oregon,97130,45.67151,-123.93342,mosque
loc92,3072,Summer Ridge,Nehalem,Oregon,97131,45.7369,-123.81702,mosque
loc93,90,Pine View,Newberg,Oregon,97132,45.32422,-122.98733,themepark
loc94,5,Bay,North Plains,Oregon,97133,45.7021,-123.02978,state building
loc95,67038,Fremont,Oceanside,Oregon,97134,45.45758,-123.97704,themepark
loc96,7,Farwell,Pacific City,Oregon,97135,45.22186,-123.9627,school
loc97,57,Mesta,Rockaway Beach,Oregon,97136,45.63059,-123.92077,themepark
loc98,33,Memorial,Saint Paul,Oregon,97137,45.21951,-122.94849,chruch
loc99,70,Buena Vista,Seaside,Oregon,97138,45.85356,-123.56934,chruch
loc100,153,Anhalt,Sherwood,Oregon,97140,45.35308,-122.86584,chruch
loc101,847,Mesta,Tillamook,Oregon,97141,45.51073,-123.74337,chruch
loc102,87046,Oak Valley,Netarts,Oregon,97143,45.43,-123.94,themepark
loc103,60874,Anthes,Timber,Oregon,97144,45.74156,-123.30024,state building
loc104,69,7th,Tolovana Park,Oregon,97145,45.85115,-123.95073,school
loc105,484,Dwight,Warrenton,Oregon,97146,46.1297,-123.94591,school
loc106,38,Victoria,Wheeler,Oregon,97147,45.688,-123.87863,school
loc107,101,Kedzie,Yamhill,Oregon,97148,45.3584,-123.24848,school
loc108,893,Carpenter,Neskowin,Oregon,97149,45.11295,-123.93904,school
loc109,62,Fair Oaks,Portland,Oregon,97201,45.50786,-122.69079,school
loc110,17323,Havey,Portland,Oregon,97202,45.48254,-122.64394,school
loc111,0,Charing Cross,Portland,Oregon,97203,45.60355,-122.73791,school
loc112,535,Evergreen,Portland,Oregon,97204,45.51837,-122.67395,school
loc113,87,Nobel,Portland,Oregon,97205,45.52056,-122.71023,school
loc114,38007,Farmco,Portland,Oregon,97206,45.48243,-122.5986,school
loc115,2702,5th,Portland,Oregon,97207,45.52,-122.68,school
loc116,77468,Nevada,Portland,Oregon,97208,45.52867,-122.67898,school
loc117,94674,Kenwood,Portland,Oregon,97209,45.53112,-122.68395,school
loc118,23,Kensington,Portland,Oregon,97210,45.54416,-122.72663,school
