trip_id,driver_id,cab_id,rider_id,location_start_id,ride_end_time,coupon_id,rider_payment_id,request_time,ride_start_time,ride_wait_time,total_mileage,trip_amount,discount_amount,paid_amount,trip_status,rider_rating,driver_rating,rider_review,driver_review
trip_01,EMP001,cab01,CUS1001,loc01,01-01-2020 01:32:00,0,pay001,12:26:00 AM,1/1/20,12:10:00 AM,18.67,62,0,62,completed,3,4.5,impolite,friendly conversation
trip_02,EMP002,cab02,CUS1002,loc02,01-01-2020 01:45:00,1,pay002,12:35:00 AM,1/1/20,12:10:00 AM,20,66,10,56,completed,1,1,arrived late,driver got lost
trip_03,EMP003,cab03,CUS1003,loc03,01-01-2020 01:50:00,0,pay003,12:47:00 AM,1/1/20,12:10:00 AM,17.67,62,0,62,completed,5,2,friendly customer,No customer service
trip_04,EMP004,cab04,CUS1004,loc04,01-01-2020 01:53:00,1,pay004,12:48:00 AM,1/1/20,12:10:00 AM,18.33,62,10,52,completed,2,2,unfriendly,No customer service
trip_05,EMP005,cab05,CUS1005,loc05,01-01-2020 01:32:00,1,pay005,12:49:00 AM,1/1/20,12:10:00 AM,11,39,10,29,completed,1,3,arrived late,service is ok
trip_06,EMP006,cab06,CUS1006,loc06,01-01-2020 01:50:00,3,pay006,12:51:00 AM,1/1/20,12:10:00 AM,16.33,62,6.2,55.8,completed,1,4.7,arrived late,comfortable ride
trip_07,EMP007,cab07,CUS1007,loc07,01-01-2020 01:47:00,0,pay007,12:52:00 AM,1/1/20,12:10:00 AM,15,45,0,45,completed,4,4.5,good ,arrived on time
trip_08,EMP008,cab08,CUS1008,loc08,01-01-2020 02:18:00,1,pay008,1:15:00 AM,1/1/20,12:10:00 AM,17.67,62,10,52,completed,1,4.5,arrived late,friendly conversation
trip_09,EMP009,cab09,CUS1009,loc09,01-01-2020 03:25:00,0,pay009,1:37:00 AM,1/1/20,12:09:00 AM,33,83,0,83,completed,1,4.5,arrived late,friendly conversation
trip_10,EMP010,cab10,CUS1010,loc10,01-01-2020 03:23:00,0,pay010,1:39:00 AM,1/1/20,12:10:00 AM,31.33,79,0,79,completed,4,4.5,good ,friendly conversation
trip_11,EMP011,cab11,CUS1011,loc11,01-01-2020 03:54:00,3,pay011,1:43:00 AM,1/1/20,12:10:00 AM,40.33,83,8.3,74.7,completed,3,1,impolite,driver got lost
trip_12,EMP012,cab12,CUS1012,loc12,01-01-2020 02:55:00,0,pay012,1:48:00 AM,1/1/20,12:10:00 AM,19,66,0,66,completed,5,1,friendly customer,driver got lost
trip_13,EMP013,cab13,CUS1013,loc13,01-01-2020 02:42:00,1,pay013,1:52:00 AM,1/1/20,12:10:00 AM,13.33,45,10,35,completed,1,4.7,arrived late,friendly Driver
trip_14,EMP014,cab14,CUS1014,loc14,01-01-2020 03:03:00,0,pay014,1:55:00 AM,1/1/20,12:10:00 AM,19.33,66,0,66,completed,3,1,impolite,driver got lost
trip_15,EMP015,cab15,CUS1015,loc15,01-01-2020 03:21:00,1,pay015,2:07:00 AM,1/1/20,12:10:00 AM,21.33,66,10,56,completed,5,3,friendly customer,
trip_16,EMP016,cab16,CUS1016,loc16,01-01-2020 03:10:00,1,pay016,2:11:00 AM,1/1/20,12:10:00 AM,16.33,62,10,52,completed,2,3,unfriendly,
trip_17,EMP017,cab17,CUS1017,loc17,01-01-2020 03:40:00,1,pay017,2:40:00 AM,1/1/20,12:10:00 AM,16.67,62,10,52,completed,5,2,friendly customer,No customer service
trip_18,EMP018,cab18,CUS1018,loc18,01-01-2020 04:16:00,1,pay018,3:03:00 AM,1/1/20,12:02:00 AM,23.67,74,10,64,completed,5,4.7,friendly customer,driver got lost
trip_19,EMP019,cab19,CUS1019,loc19,01-01-2020 03:52:00,2,pay019,3:13:00 AM,1/1/20,12:02:00 AM,12.33,39,5,34,completed,4,1,good ,driver got lost
trip_20,EMP020,cab20,CUS1020,loc20,01-01-2020 04:30:00,0,pay020,3:32:00 AM,1/1/20,12:02:00 AM,18.67,62,0,62,completed,2,1,unfriendly,driver got lost
trip_21,EMP021,cab21,CUS1021,loc21,01-01-2020 04:28:00,0,pay021,3:38:00 AM,1/1/20,12:02:00 AM,16,62,0,62,completed,1,3,arrived late,service is ok
trip_22,EMP022,cab22,CUS1022,loc22,01-01-2020 04:47:00,0,pay022,3:53:00 AM,1/1/20,12:02:00 AM,17.33,62,0,62,completed,5,4.5,friendly customer,friendly conversation
trip_23,EMP023,cab23,CUS1023,loc23,01-01-2020 04:57:00,0,pay023,4:07:00 AM,1/1/20,12:02:00 AM,16,62,0,62,completed,4,4.5,good ,friendly conversation
trip_24,EMP024,cab24,CUS1024,loc24,01-01-2020 04:57:00,0,pay024,4:07:00 AM,1/1/20,12:02:00 AM,16,62,0,62,completed,5,1,friendly customer,driver got lost
trip_25,EMP025,cab25,CUS1025,loc25,01-01-2020 04:09:00,0,pay025,4:07:00 AM,1/1/20,12:02:00 AM,0,0,0,0,Cancelled,0,0,,
